Sentiment,Text,Label,Prediction
0,why won't my pic show up,0,0
4,"@LucasBlack Yeah, I know! Thanks so much",1,1
4,"@atrox_smiles you're making funny mistakes!  yes, I've just finished it up.",1,1
0,Meh. Totally cba with.work for 4 hours,0,0
0,@ChaseNCashe awww  at least you were honest with her.,0,0
0,star trek will release on 12 june india ...it sucks,0,0
0,Off to work with an awful neck condition,0,0
0,Yay!! Tweetdeck! Idk why I spend so much time on twitter when my friends don't even come on.,0,0
0,"Having wonderful Fantastic day in NH the sun came out then it poke it's head behind some clouds, I think it's gonna RAIN! yuk!",0,0
0,is waiting hopelessly for Futur Music Magazine JUNE 2009 !,0,1
4,@KellyAnnPhoto Check @etsy and be *wowed* by the choices with those search terms.,1,1
4,"hasn't twittered in a very long time...so hello! off to work at 6:30, then I dunno after that",1,0
4,"@sophie I did not mean buy as purchase, I guess I should have used participate.",1,0
0,"fuck im fucked  goodnight,,,,",0,0
0,"@xbllygbsn still a size 10..but a big size 10  :$:$. a cant wait to see you either, but a jus feel all huge  :$",0,1
0,"larry had a horrible day, and I made it worse  I suck",0,0
4,@MelanieFresh27 Yep. There are a couple. I use Footy2009,1,1
4,"damn klaxons, how did I forget about you? Now I feel alive again",1,0
4,Had a great time at Fat Fish and is wondering which friend Of his is taking him to watch the finals,1,0
0,@elerina What's wrong with it?,0,0
0,aww man i bloody h8 sundays dinners! y must my mam make them,0,0
4,@Votney_925 I see. Just finished fixin muh hair.,1,1
4,just got home from carolines wedding!!,1,1
4,@reidjjackson  can you vlog? what do you wanna do? chek out our site. (no ads nothing to buy) just saw your shout out about bein' bored!,1,0
0,I spelled @atchorz name wrong in the twitpic,0,1
0,Is mulling over this bad weather,0,0
0,lol hair cut,0,1
4,@Krystal_Monique lol you got it,1,1
4,"@Morrica I totally agree!  corr I love talking to you, you understand",1,1
4,toffy ice cream while soaking in bubbles,1,1
0,NO more sleep !! I hope a cup of coffe can help me to study until tonight ! 7 chapter still waiting me,0,0
4,"early sunday morning with my issys, watching degrassi",1,1
4,"Now seeking @barackobama. He return to twitt. but, How can he seek more than 700,000 differents twitters? Answer: Yes, we can...",1,1
0,@janelle30 I ate her flowers   she is more patient with me. Have you seen what @jaredleto does to @dukkrogers when he is mad? BOY!,0,1
0,@Deltadivarn I did but I don't know how to make it show up  I am Dumb right about now on this site,0,0
4,@WhatsTheT @madkewl This happened Friday .. it was all on Twitter lol,1,1
4,@AdamSevani suppppppppp i wanna ask u who won the dance battle at the end ? AC/DC or M&amp;M cru ?????  plzzzzzzzzz reply i wanna know,1,0
0,my head hurts from crying,0,0
4,you spin ma head right round!! or maybe its just the lack of sleep,1,1
